,nan,transgender female,intersex,fa'afafine,transgender,American football player,Gender fluid,sociologist,transgender male,female creature,male creature,woman,genderqueer,female,male,kathoey
Q1028181|Q13365770|,1.0,,,,,,,,,,,,,,5.0,
Q1028181|Q13365770|Q1281618|,,,,,,,,,,,,,,,1.0,
Q1028181|Q13365770|Q329439|,,,,,,,,,,,,,,,1.0,
Q1028181|Q13365770|Q984276|,,,,,,,,,,,,,,,1.0,
Q1028181|Q13382608|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1350157|,,,,,,,,,,,,,,,1.0,
Q1028181|Q139106|,,,,,,,,,,,,,,,1.0,
Q1028181|Q139106|Q187865|Q49757|,,,,,,,,,,,,,,,1.0,
Q1028181|Q14089670|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1437754|,,,,,,,,,,,,,,,1.0,
Q1028181|Q14467526|,,,,,,,,,,,,,,,1.0,
Q1028181|Q14623005|,,,,,,,,,,,,,,2.0,1.0,
Q1028181|Q14623005|Q10862983|,,,,,,,,,,,,,,,1.0,
Q1028181|Q14623005|Q329439|Q644687|,,,,,,,,,,,,,,,2.0,
Q1028181|Q14623005|Q3658608|Q1281618|Q16947657|,,,,,,,,,,,,,,,1.0,
Q1028181|Q14623005|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1476215|,,,,,,,,,,,,,,1.0,,
Q1028181|Q14915627|,,,,,,,,,,,,,,,1.0,
Q1028181|Q14915627|Q17484288|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15059856|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15059856|Q774306|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15095148|,,,,,,,,,,,,,,1.0,2.0,
Q1028181|Q15095148|Q483501|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15212951|,,,,,,,,,,,,,,3.0,1.0,
Q1028181|Q15296811|,1.0,,,,,,,,,,,,,3.0,44.0,
Q1028181|Q15296811|Q10862983|,,,,,,,,,,,,,,,2.0,
Q1028181|Q15296811|Q1281618|Q33231|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q1281618|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q13365770|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q15966904|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q15966904|Q3243461|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q16947657|,,,,,,,,,,,,,,,4.0,
Q1028181|Q15296811|Q16947657|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q16947657|Q916292|Q33231|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q17505902|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q17505902|Q16947657|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q1925963|,,,,,,,,,,,,,,,4.0,
Q1028181|Q15296811|Q2707485|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q329439|,,,,,,,,,,,,,,,10.0,
Q1028181|Q15296811|Q329439|Q16947657|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q329439|Q16947657|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q329439|Q3658608|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q329439|Q644687|,,,,,,,,,,,,,,,2.0,
Q1028181|Q15296811|Q37226|,,,,,,,,,,,,,,,2.0,
Q1028181|Q15296811|Q627325|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q627325|Q37226|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15296811|Q644687|,,,,,,,,,,,,,,,3.0,
Q1028181|Q15296811|Q644687|Q37226|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15301511|,,,,,,,,,,,,,,,15.0,
Q1028181|Q15303031|,,,,,,,,,,,,,,,4.0,
Q1028181|Q15303031|Q15301511|,,,,,,,,,,,,,,,2.0,
Q1028181|Q15303045|Q15301511|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15462162|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1551626|,,,,,,,,,,,,,,,1.0,
Q1028181|Q155647|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15811035|Q3237618|Q483501|,,,,,,,,,,,,,,1.0,,
Q1028181|Q15874132|,,,,,,,,,,,,,,1.0,,
Q1028181|Q158852|Q4164507|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15895020|Q81096|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15921002|,,,,,,,,,,,,,,1.0,9.0,
Q1028181|Q15921002|Q350979|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15921002|Q483501|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15921002|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1595570|,,,,,,,,,,,,,,,2.0,
Q1028181|Q15966904|,,,,,,,,,,,,,,41.0,29.0,
Q1028181|Q15966904|Q10862983|,,,,,,,,,,,,,,,2.0,
Q1028181|Q15966904|Q1281618|Q483501|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15966904|Q15296811|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15966904|Q329439|,,,,,,,,,,,,,,,1.0,
Q1028181|Q15966904|Q644687|Q37226|,,,,,,,,,,,,,,1.0,,
Q1028181|Q15977927|,,,,,,,,,,,,,,1.0,1.0,
Q1028181|Q15977971|,,,,,,,,,,,,,,,2.0,
Q1028181|Q15981151|,,,,,,,,,,,,,,,4.0,
Q1028181|Q1607826|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16145150|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1622272|,,,,,,,,,,,,,,,5.0,
Q1028181|Q16271261|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16287483|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1630100|,,,,,,,,,,,,,,1.0,,
Q1028181|Q169470|,,,,,,,,,,,,,,,2.0,
Q1028181|Q16947657|,,,,,,,,,,,,,,5.0,129.0,
Q1028181|Q16947657|Q10862983|,,,,,,,,,,,,,,,4.0,
Q1028181|Q16947657|Q1231865|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q1281618|,,,,,,,,,,,,,,,5.0,
Q1028181|Q16947657|Q1281618|Q33231|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q1281618|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q15296811|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q15921002|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q329439|,,,,,,,,,,,,,,,4.0,
Q1028181|Q16947657|Q329439|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q36180|Q15296811|Q3658608|Q3069732|Q2815948|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q3658608|Q15296811|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q36834|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q482980|Q10862983|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q483501|,,,,,,,,,,,,,,,3.0,
Q1028181|Q16947657|Q483501|Q15966904|,,,,,,,,,,,,,,1.0,,
Q1028181|Q16947657|Q49757|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q644687|,,,,,,,,,,,,,,,5.0,
Q1028181|Q16947657|Q739437|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q81096|,,,,,,,,,,,,,,,1.0,
Q1028181|Q16947657|Q957729|Q1930187|,,,,,,,,,,,,,,,1.0,
Q1028181|Q170790|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1708232|,,,,,,,,,,,,,,,2.0,
Q1028181|Q17093672|,,,,,,,,,,,,,,,1.0,
Q1028181|Q17145081|Q1792450|,,,,,,,,,,,,,,,1.0,
Q1028181|Q17166634|,,,,,,,,,,,,,,,2.0,
Q1028181|Q17307272|,,,,,,,,,,,,,,1.0,1.0,
Q1028181|Q1734662|,,,,,,,,,,,,,,1.0,6.0,
Q1028181|Q1734662|Q329439|Q2516866|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1734662|Q901402|,,,,,,,,,,,,,,,1.0,
Q1028181|Q173950|,,,,,,,,,,,,,,,4.0,
Q1028181|Q173950|Q10732476|Q329439|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q173950|Q131524|,,,,,,,,,,,,,,1.0,,
Q1028181|Q173950|Q15296811|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1743122|Q201788|,,,,,,,,,,,,,,,1.0,
Q1028181|Q17505902|,,,,,,,,,,,,,,1.0,5.0,
Q1028181|Q17505902|Q15296811|Q329439|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q17505902|Q15296811|Q3658608|Q329439|,,,,,,,,,,,,,,,1.0,
Q1028181|Q17505902|Q15296811|Q644687|,,,,,,,,,,,,,,,1.0,
Q1028181|Q175151|,,,,,,,,,,,,,,,4.0,
Q1028181|Q1756454|,,,,,,,,,,,,,,,2.0,
Q1028181|Q17624048|,,,,,,,,,,,,,,,1.0,
Q1028181|Q177220|,,,,,,,,,,,,,,6.0,10.0,
Q1028181|Q177220|Q1281618|,,,,,,,,,,,,,,,1.0,
Q1028181|Q177220|Q130857|,,,,,,,,,,,,,,,1.0,
Q1028181|Q177220|Q15214752|,,,,,,,,,,,,,,,1.0,
Q1028181|Q177220|Q2865819|,,,,,,,,,,,,,,1.0,,
