EconomyScore WIGI,EconomyRank WIGI,Rank,Score SIGI,Rank SIGI,Score GDI,Rank GDI,Score GEI,Rank GEI,Score GGGI,Rank GGGI
United States,,,,,0.995,7,,,,
"Hong Kong, China (SAR)",,,,,0.969,49,,,,
Korea (Republic of),,,,,0.940,85,,,,
Brunei Darussalam,,,,,0.981,31,72.0,51.0,,
Russian Federation,,,,,1.038,61,75.0,31.0,,
Venezuela (Bolivarian Republic of),,,,,0.999,2,,,,
Iran (Islamic Republic of),,,,,0.847,128,,,,
Belize,,,,,0.963,60,69.0,64.0,0.6701,100.0
The former Yugoslav Republic of Macedonia,,,,,0.944,83,,,,
Maldives,,,,,0.936,90,63.0,84.0,0.6557,105.0
"Palestine, State of",,,,,0.974,41,,,,
Bolivia (Plurinational State of),,,,,0.931,93,,,,
Moldova (Republic of),,,,,0.990,14,,,,
Syrian Arab Republic,,,,,0.851,127,,,,
Vanuatu,,,,,0.900,110,,,,
Lao People's Democratic Republic,,,,,0.897,112,,,,
Congo,,,,,0.928,96,,,,
Sao Tome and Principe,,,,,0.894,115,,,,
Swaziland,,,,,0.877,121,65.0,73.0,0.6772,92.0
Tanzania (United Republic of),,,,,0.916,100,,,,
Congo (Democratic Republic of the),,,,,0.822,134,,,,
Viet Nam,,,,,,,70.0,59.0,,
Papua New Guinea,,,,,,,60.0,96.0,,
"Korea, Rep.",,,,,,,59.0,99.0,,
"Lao, PDR",,,,,,,56.0,108.0,,
Comoros,,,,,,,48.0,125.0,,
Djibouti,,,,,,,46.0,128.0,,
Oman,,,,,,,45.0,130.0,0.6091,128.0
Equatorial Guinea,,,,,,,42.0,136.0,,
Bhutan,,,,,,,41.0,138.0,0.6364,120.0
"Congo, DR",,,,,,,36.0,145.0,,
"Congo, Rep.",,,,,,,29.0,148.0,,
Republic of Macedonia,,,,,,,,,0.6943,70.0
Brunei,,,,,,,,,0.6719,98.0
