,qid,dob,dod,name,text
2007855,Q1345355,1930.0,2010.0,Günther Wiesinger,Günther Wiesinger (* 19. September 1930 in Wien; † 16. August 2010 in Wolfenreith bei Habruck) war ein österreichischer Politiker (ÖVP) und Facharzt. Wiesinger war von 1973 bis 1983 Abgeordneter zum ö
2008173,Q1349825,1926.0,,Paul Grimm (Künstler),"Paul Leonhard Grimm (* 29. Juni 1926 in Fussingen) ist ein deutscher Bildhauer und Maler. Er gilt als Erfinder der Feuerplastik und ist Ehrenprofessor an der Srinakharinwirot-Universität in Bangkok, T"
2008253,Q1350950,1929.0,2011.0,Erhard W. Fischer,"Erhard Wolfgang Fischer (* 16. Februar 1929 in Wiederau; † 13. März 2011) war ein deutscher Physiker.

Erhard Fischer war Schüler des Königin-Carola-Gymnasiums in Leipzig.Friedrich-Nietzsche-Oberschul"
2008365,Q1351929,1926.0,,Erich Becht,"Erich Becht (* 20. Januar 1926 in Frankfurt am Main) ist ein deutscher Jazz- und Unterhaltungsmusiker (Piano, Arrangement, Orchesterleiter), Produzent und Schlagerkomponist. Er arbeitete auch unter de"
2008434,Q1352323,1930.0,,Erich Gusko,"Erich Gusko (* 19. Februar 1930 in Dresden) ist ein deutscher Kameramann.

 Leben 
In seiner Heimatstadt besuchte Gusko die Schule und die Oberschule; noch vor dem Ablegen des Abiturs 1945 erfolgte di"
2008439,Q1352368,1929.0,,Erich Hallhuber (Sänger),"Erich Hallhuber (* 20. Februar 1929 in München) ist ein deutscher Schauspieler und ehemaliger Opernsänger.

 Leben 
Erich Hallhuber ist studierter Betriebswirt und arbeitete bereits während des Studiu"
2008470,Q1352561,1930.0,2013.0,Erich Kiesl,Erich Kiesl (* 26. Februar 1930 in Pfarrkirchen; † 4. Juli 2013 in MünchenTraueranzeige in der Süddeutschen Zeitung)  war ein deutscher Politiker der CSU. Er war von 1978 bis 1984 Oberbürgermeister vo
2008500,Q1352742,1926.0,2003.0,Erich Leitow,"Erich Leitow (* 6. April 1926 in Ilten; † 3. Mai 2003 in Braunschweig) war ein deutscher Politiker (SPD).

 Leben und Beruf 

Nach dem Schulbesuch absolvierte Leitow eine Ausbildung zum Industriekaufm"
2008511,Q1352794,1929.0,2012.0,Erich Mansen,"Erich Mansen (* 30. Dezember 1929 in Flensburg; † 9. Juni 2012) war ein deutscher Künstler und ehemaliger Professor für Zeichnung und  Malerei. Zuletzt lebte er in Lichtenstein.

 Leben 
Von 1950 bis "
2008521,Q1352846,1929.0,,Erich Meuthen,"Erich Meuthen (* 31. Mai 1929 in Mönchengladbach) ist ein deutscher Historiker.

Erich Meuthen promovierte 1954 an der Universität zu Köln mit einer Arbeit über Gerhoch von Reichersberg und war von 19"
2008527,Q1352873,1929.0,2005.0,Erich Mulzer,"Erich Mulzer (* 13. Januar 1929 in Nürnberg; † 9. Oktober 2005 ebenda) war ein deutscher Gymnasialprofessor und langjähriger Vorsitzender der Altstadtfreunde Nürnberg.

 Leben 
Mulzer studierte nach d"
2008576,Q1353105,1930.0,2006.0,Erich Rümmler,"Erich Rümmler (* 17. April 1930 in Pockau; † 30. Mai 2006 in Berlin) war Generalmajor des Ministeriums für Staatssicherheit (MfS) und Leiter der Arbeitsgruppe des Ministers (AGM). 

 Leben 
Erich Rümm"
2008605,Q1353316,1926.0,2003.0,Erich Stockmann,"Erich Stockmann (* 10. März 1926 in Stendal; † 16. November 2003 in Berlin) war ein deutscher Musikethnologe.

 Biografie 
Stockmann studierte 1946-52 in Greifswald und Berlin Musikwissenschaft, Germa"
2008612,Q1353345,1929.0,1987.0,Erich Sulzer,Erich Sulzer (* 10. November 1929 in Herzogenburg; † 12. Juni 1987 in  Stuttgart) war ein österreichischer Politiker (SPÖ). Er war 1969 Mitglied des Bundesrates und von 1969 bis 1983 Abgeordneter zum 
