,bls_occupation,wd_occupation,Unnamed: 0,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
176,Licensed practical and licensed vocational nurses,,189,531000,94.2,23.3,5.1,9.4,False,False,False,,False,False
177,"Counter attendants, cafeteria, food concession, and coffee shop",,229,233000,70.8,10.9,4.8,16.6,False,False,False,,False,False
178,Veterinarians,,178,85000,54.7,1.9,1.3,6.1,False,True,False,veterinarians,False,False
179,Other extraction workers,,380,75000,4.5,5.6,1.0,26.2,False,False,False,,False,False
180,Teacher assistants,,140,898000,91.1,14.5,2.7,15.7,False,False,False,,False,False
181,Tax preparers,,56,107000,59.6,10.4,7.1,15.9,False,True,False,tax preparer,False,False
182,First-line supervisors of office and administrative support workers,,280,1416000,68.5,11.3,3.5,11.9,False,False,False,,False,False
183,Accountants and auditors,,46,1765000,60.9,9.7,12.0,6.8,False,True,True,accountant,False,False
184,"Baggage porters, bellhops, and concierges",,255,68000,25.0,20.8,13.1,18.0,False,True,False,,False,False
185,"Library assistants, clerical",,301,97000,84.0,7.0,3.2,5.8,False,False,False,,False,False
186,Technical writers,,154,58000,55.5,2.7,6.7,3.7,False,True,False,technical writer,False,False
187,Security guards and gaming surveillance officers,,219,903000,18.5,26.6,4.1,15.8,False,True,False,security guard,False,False
188,"Financial clerks, all other",,291,52000,68.4,17.1,4.1,16.6,False,False,False,,False,False
189,Tour and travel guides,,256,51000,36.9,3.6,7.1,15.1,False,True,False,tour guide,False,False
190,Grounds maintenance workers,,241,1298000,5.1,8.7,1.7,44.4,False,True,False,groundskeeper,False,False
191,Computer hardware engineers,,81,91000,15.1,8.5,20.8,6.5,False,False,False,,False,False
192,Counselors,,118,661000,69.3,19.4,2.9,10.7,False,True,False,counselor,False,False
193,Training and development specialists,,39,126000,56.4,15.9,0.8,10.8,False,False,False,,False,False
194,"Miscellaneous community and social service specialists, including health educators and community health workers",,122,94000,75.7,16.9,2.4,18.4,False,False,False,,False,False
195,Private detectives and investigators,,218,103000,44.0,8.0,2.2,11.1,False,True,False,private investigator,False,False
196,Nonfarm animal caretakers,,245,179000,74.2,4.3,1.8,12.2,False,False,False,,False,False
197,Millwrights,,405,53000,6.4,2.1,1.4,6.7,False,False,False,,False,False
198,"Hotel, motel, and resort desk clerks",,299,110000,64.6,18.4,6.3,18.6,False,False,False,,False,False
199,First-line supervisors of retail sales workers,,262,3237000,43.4,8.6,5.9,11.3,False,False,False,,False,False
200,Advertising and promotions managers,,3,77000,49.4,6.7,4.3,10.0,False,False,False,,False,False
201,Human resources managers,,10,224000,72.7,11.3,2.4,9.5,False,True,False,HR?,True,False
202,Water and wastewater treatment plant and system operators,,476,72000,4.5,8.4,1.7,19.6,False,False,False,,False,False
203,"Musicians, singers, and related workers",,148,203000,35.5,10.9,2.8,6.7,False,True,True,musician,False,False
204,Billing and posting clerks,,285,475000,90.1,11.8,4.0,16.2,False,False,False,,False,False
205,"Television, video, and motion picture camera operators and editors",,159,57000,21.4,4.4,5.6,10.7,False,False,False,,False,False
206,Computer network architects,,67,127000,8.1,10.0,14.6,4.6,False,False,False,,False,False
207,"Motor vehicle operators, all other",,507,63000,13.3,14.4,1.4,10.5,False,False,False,,False,False
208,Bus drivers,,504,558000,45.5,25.3,2.3,12.9,False,True,False,bus driver,False,False
209,Reservation and transportation ticket agents and travel clerks,,307,117000,58.6,21.8,10.9,21.5,False,False,False,,False,False
210,"Nursing, psychiatric, and home health aides",healer,194,2119000,87.9,34.5,4.6,14.2,False,False,False,,False,False
211,"Brickmasons, blockmasons, and stonemasons",,343,122000,0.1,5.8,0.3,43.2,False,True,True,brickmason or blockmason or stonemason,False,False
212,"Butchers and other meat, poultry, and fish processing workers",,425,311000,23.0,13.5,7.9,41.6,False,True,False,butcher,False,False
213,"Wholesale and retail buyers, except farm products",,32,198000,55.2,7.1,7.7,10.9,False,False,False,,False,False
214,First-line supervisors of police and detectives,,206,112000,15.2,9.2,4.4,10.6,False,False,False,,False,False
215,"Judges, magistrates, and other judicial workers",,128,67000,39.0,12.8,0.7,4.5,False,True,True,judge,False,False
216,"Therapists, all other",,177,148000,83.6,10.3,2.9,8.7,False,False,False,,False,False
217,"First-line supervisors of farming, fishing, and forestry workers",,332,50000,14.1,7.8,4.2,23.9,False,False,False,,False,False
218,Residential advisors,,260,58000,61.4,29.1,1.4,5.4,False,False,False,,False,False
219,Other teachers and instructors,,136,860000,65.6,10.7,5.9,9.5,False,True,False,,False,False
220,Credit counselors and loan officers,,54,333000,59.2,13.2,6.0,9.3,False,False,False,,False,False
221,Roofers,,360,196000,1.5,7.0,0.5,45.1,False,True,False,roofer,False,False
222,Dietitians and nutritionists,,163,116000,93.3,13.7,5.1,7.2,False,True,True,dietician or nutritionist,False,False
223,"Office and administrative support workers, all other",,331,570000,77.3,14.1,3.9,11.0,False,False,False,,False,False
224,"Door-to-door sales workers, news and street vendors, and related workers",,278,198000,62.2,10.2,3.8,13.5,False,False,False,,False,False
225,"Helpers, construction trades",,364,53000,4.5,12.1,1.3,38.4,False,False,False,,False,False
226,Couriers and messengers,,310,213000,15.5,13.0,2.4,16.9,False,True,False,courier,False,False
227,Gaming services workers,,246,106000,51.0,9.4,24.3,13.5,False,False,False,,False,False
228,Waiters and waitresses,,230,2124000,71.2,7.9,7.1,19.6,False,True,False,,False,False
229,Automotive body and related repairers,,392,140000,1.8,5.7,2.3,25.3,False,False,False,,False,False
230,Social and human service assistants,,121,151000,77.1,24.4,3.8,15.5,False,False,False,,False,False
231,Physical therapists,,171,211000,70.7,4.4,9.1,9.4,False,True,False,physical therapist,False,False
232,"Financial specialists, all other",,57,82000,66.5,10.9,8.4,11.5,False,False,False,,False,False
233,Operating engineers and other construction equipment operators,,350,348000,1.3,6.0,0.2,17.1,False,False,False,,False,False
234,Miscellaneous entertainment attendants and related workers,,249,180000,45.4,14.0,5.1,17.6,False,False,False,,False,False
235,Highway maintenance workers,,369,108000,1.5,11.0,0.1,12.4,False,False,False,,False,False
236,Diagnostic related technologists and technicians,,186,308000,74.5,9.0,4.1,7.8,False,False,False,,False,False
237,Tool and die makers,,444,56000,0.8,3.1,5.6,4.3,False,False,False,,False,False
238,"Crushing, grinding, polishing, mixing, and blending workers",,479,100000,15.0,14.5,6.8,18.4,False,False,False,,False,False
239,"Architects, except naval",,74,195000,23.5,1.3,6.2,8.2,False,True,False,architect,False,False
240,Parking lot attendants,,516,81000,11.6,23.5,5.3,35.5,False,True,False,parking attendant,False,False
241,Miscellaneous media and communication workers,media professional,156,98000,79.2,5.6,15.0,35.0,False,False,False,,False,False
242,Bus and truck mechanics and diesel engine specialists,,395,316000,0.5,8.6,1.3,13.4,False,True,False,mechanic,False,False
243,"Models, demonstrators, and product promoters",,274,65000,83.4,19.4,4.0,10.6,False,False,False,,False,False
244,"Postal service mail sorters, processors, and processing machine operators",,315,66000,47.6,28.6,12.7,9.8,False,False,False,,False,False
245,Probation officers and correctional treatment specialists,,120,88000,47.5,20.7,1.3,15.0,False,True,True,probation officer,False,False
246,Postal service clerks,,313,148000,50.0,21.3,9.5,12.0,False,False,False,,False,False
247,Cleaners of vehicles and equipment,,526,315000,15.2,16.8,2.7,35.9,False,False,False,,False,False
248,Miscellaneous health technologists and technicians,,192,140000,60.2,18.7,11.0,10.0,False,False,False,,False,False
249,Appraisers and assessors of real estate,,47,93000,40.6,9.8,2.7,1.0,False,False,False,,False,False
250,Chemical engineers,,79,71000,17.7,5.9,9.3,6.7,False,True,False,"chemical engineer, engineer",False,True
251,Surveying and mapping technicians,,94,77000,4.3,5.3,2.5,13.5,False,False,False,,False,False
252,Cutting workers,,480,67000,19.2,14.1,3.5,15.8,False,False,False,,False,False
253,"Production, planning, and expediting clerks",,316,272000,55.0,11.0,3.2,12.5,False,False,False,,False,False
254,Industrial truck and tractor operators,,525,537000,7.4,18.4,1.6,31.3,False,False,False,,False,False
255,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",,237,281000,7.6,6.6,1.1,19.8,False,False,False,,False,False
256,"Packers and packagers, hand",,529,431000,53.1,14.0,3.5,42.0,False,False,False,,False,False
257,Miscellaneous agricultural workers,,336,711000,18.9,3.2,1.5,48.9,False,False,False,,False,False
258,Carpenters,,344,1223000,1.6,4.2,1.9,29.0,False,True,False,carpenter,False,False
259,Miscellaneous assemblers and fabricators,,423,919000,38.4,15.8,6.9,19.3,False,False,False,,False,False
260,"Shipping, receiving, and traffic clerks",,317,527000,27.8,15.6,3.6,23.7,False,False,False,,False,False
