,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q1003873,,,,,,,,,,,1.0,
Q100388,,,,,,,,,,1.0,19.0,
Q10039,,,,,,,,,,,2.0,
Q1003919,,,,,,,,,,,2.0,
Q1003927,,,,,,,,,,,1.0,
Q100394,,,,,,,,,,,3.0,
Q1003948,,,,,,,,,,,1.0,
Q1003953,,,,,,,,,,,1.0,
Q100396,,,,,,,,,,,2.0,
Q1003984,,,,,,,,,,,1.0,
Q1003989,,,,,,,,,,,1.0,
Q1003997,,,,,,,,,,,1.0,
Q10040,,,,,,,,,,2.0,2.0,
Q1004007,,,,,,,,,,,1.0,
Q1004012,,,,,,,,,,2.0,1.0,
Q1004023,,,,,,,,,,,1.0,
Q1004035,,,,,,,,,,,1.0,
Q1004041,,,,,,,,,,,1.0,
Q1004048,,,,,,,,,,2.0,7.0,
Q1004066,,,,,,,,,,,2.0,
Q1004085,,,,,,,,,,,1.0,
Q10041,,,,,,,,,,1.0,2.0,
Q1004113,,,,,,,,,,1.0,,
Q1004121,,,,,,,,,,,1.0,
Q1004125,,,,,,,,,,,1.0,
Q1004149,,,,,,,,,,,6.0,
Q1004173,,,,,,,,,,,1.0,
Q1004189,,,,,,,,,,1.0,,
Q1004191,,,,,,,,,,,1.0,
Q1004192,,,,,,,,,,2.0,8.0,
Q1004200,,,,,,,,,,,1.0,
Q1004211,,,,,,,,,,,2.0,
Q1004225,,,,,,,,,,,4.0,
Q1004226,,,,,,,,,,1.0,1.0,
Q1004229,,,,,,,,,,,1.0,
Q100423,,,,,,,,,,,4.0,
Q1004236,,,,,,,,,,1.0,8.0,
Q1004241,,,,,,,,,,,1.0,
Q1004243,,,,,,,,,,1.0,,
Q1004264,,,,,,,,,,,3.0,
Q1004265,,,,,,,,,,,2.0,
Q1004270,,,,,,,,,,,1.0,
Q1004290,,,,,,,,,,1.0,3.0,
Q1004295,,,,,,,,,,,3.0,
Q1004298,,,,,,,,,,,7.0,
Q1004302,,,,,,,,,,,3.0,
Q1004312,,,,,,,,,,,1.0,
Q1004328,,,,,,,,,,,1.0,
Q1004350,,,,,,,,,,,1.0,
Q100436,,,,,,,,,,,1.0,
Q1004374,,,,,,,,,,,1.0,
Q1004387,,,,,,,,,,1.0,,
Q100439,,,,,,,,,,1.0,,
