,nan,transgender male,female,male
Q1930187|,,,,1.0
Q1930187|Q22667|Q1392297|,,,,1.0
Q193104|Q16525233|,,,,1.0
Q193104|Q9603|,,,,1.0
Q193391|,,,,39.0
Q193391|Q36180|,,,,2.0
Q193391|Q82955|,,,,9.0
Q193391|Q82955|Q36180|,,,,1.0
Q1935974|,,,,1.0
Q193606|,,,,1.0
Q193606|Q186424|,,,,1.0
Q193692|,,,,1.0
Q193756|Q188444|Q216861|,,,,1.0
Q193756|Q7754|,,,,1.0
Q194105|,,,,1.0
Q194294|,,,17.0,79.0
Q1944407|,,,,1.0
Q195|,,,,2.0
Q1962682|,,,1.0,
Q1971426|,,,,1.0
Q19786|,,,,1.0
Q1979615|,,,,1.0
Q19814|,,,1.0,
Q19860|,,,,1.0
Q1987815|,,,,1.0
Q199655|,,,1.0,
Q1999841|Q9603|,,,,1.0
Q2001702|,,,,1.0
Q2002157|Q1581290|Q123637|,,,,1.0
Q200333|,,,,1.0
Q200639|,,,,1.0
Q201022|,,,,1.0
Q201486|Q59115|Q1332231|,,,,1.0
Q201788|,,,,3.0
Q201788|Q17167049|Q82955|,,,,1.0
Q201965|,,,,1.0
Q2024068|Q484181|,,,,1.0
Q20266330|,,,,1.0
Q202866|Q11424|Q41466|,,,,1.0
Q203209|,,,,2.0
Q203209|Q1569950|,,,,1.0
Q203209|Q422635|,,,,1.0
Q203209|Q843393|,,,,1.0
Q203549|Q1750812|,,,,1.0
Q203605|,,,,1.0
Q203605|Q1729207|,,,,1.0
Q204100|Q162145|Q216545|Q185698|,,,1.0,
Q2043282|,,,1.0,
Q204481|,,,,1.0
Q2045692|,,,,1.0
Q205204|,,,1.0,
Q20532|,,,,2.0
Q2053|Q2115|Q2078|Q1124477|,,,,1.0
Q2066131|,,,1.0,7.0
Q2068526|Q1154615|Q7617810|,,,,1.0
Q207011|,,,,1.0
Q207628|,,,,1.0
Q208217|,,,,1.0
Q208217|Q58854|,,,,1.0
Q208365|,,,,1.0
Q208505|Q193606|,,,,1.0
Q2085381|,,,,1.0
Q208554|,,,,1.0
Q2090950|Q179465|,,,,1.0
Q209295|,,,,1.0
Q209402|Q908902|Q735188|Q7100|,,,1.0,
Q210189|Q189280|,,,,1.0
Q210701|Q50675|,,,,1.0
Q211155|Q334734|Q271008|,,,1.0,
Q211248|,,,,1.0
Q211500|,,,,1.0
Q2115|Q32110|Q850661|Q16340|Q16342|,,,,1.0
Q2117603|,,,,1.0
Q211773|,,,,1.0
Q21198|,,,3.0,48.0
Q21198|Q189447|,,,,1.0
Q21198|Q197536|Q11660|,,,,1.0
Q21198|Q2493|,,,,1.0
Q21201|,,,1.0,5.0
Q212024|,,,,1.0
Q212036|,,,,1.0
Q212105|Q11248882|,1.0,,,
Q212238|,,,,1.0
Q212238|Q11424|,,,,1.0
Q212431|Q11634|,,,1.0,
Q212431|Q1421557|,,,,1.0
Q212431|Q6805456|,,,,1.0
Q212431|Q682010|,,,,1.0
Q212685|,,,,1.0
Q212803|,,,,1.0
Q212803|Q217413|,,,,1.0
Q212805|,,,,1.0
Q212944|,,,1.0,
Q212948|,,,1.0,
Q213156|,,,2.0,1.0
Q213156|Q682010|Q212431|,,,1.0,
Q2133414|,,,,1.0
Q213369|,,,,2.0
Q2135597|Q15982348|Q15982362|Q15982298|,,,,1.0
