,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q2633574,,,,,,,,,,,3.0,
Q2643509,,,,,,,,,,1.0,5.0,
Q2657969,,,,,,,,,,,1.0,
Q2670560,,,,,,,,,,,1.0,
Q2671687,,,,,,,,,,,1.0,
Q2672654,,,,,,,,,,1.0,1.0,
Q2696805,,,,,,,,,,,1.0,
Q27,,,,,,,,,,1.0,,
Q271790,,,,,,,,,,2.0,,
Q273854,,,,,,,,,,,2.0,
Q2749107,,,,,,,,,,,1.0,
Q276879,,,,,,,,,,2.0,2.0,
Q277647,,,,,,,,,,1.0,,
Q2778017,,,,,,,,,,,1.0,
Q2795682,,,,,,,,,,,1.0,
Q28,,,,,,,,,,2.0,,
Q2844818,,,,,,,,,,1.0,,
Q2849692,,,,,,,,,,,1.0,
Q285828,,,,,,,,,,,3.0,
Q2879337,,,,,,,,,,1.0,5.0,
Q2883527,,,,,,,,,,,1.0,
Q2883553,,,,,,,,,,1.0,,
Q2886395,,,,,,,,,,1.0,,
Q2891174,,,,,,,,,,,1.0,
Q290201,,,,,,,,,,,1.0,
Q2904712,,,,,,,,,,1.0,,
Q2918061,,,,,,,,,,,1.0,
Q2935814,,,,,,,,,,,1.0,
Q29401,,,,,,,,,,1.0,,
Q297382,,,,,,,,,,,1.0,
Q2986879,,,,,,,,,,,6.0,
Q2995285,,,,,,,,,,1.0,,
Q2996826,,,,,,,,,,1.0,,
Q2997267,,,,,,,,,,2.0,,
Q2997706,,,,,,,,,,,4.0,
Q30,,,,,,,,,,6.0,25.0,
Q3003133,,,,,,,,,,,1.0,
Q301533,,,,,,,,,,,1.0,
Q3015339,,,,,,,,,,1.0,,
Q3016793,,,,,,,,,,,2.0,
Q3026395,,,,,,,,,,,1.0,
Q3036435,,,,,,,,,,1.0,,
Q3044281,,,,,,,,,,,1.0,
Q3070998,,,,,,,,,,1.0,,
Q3072663,,,,,,,,,,,1.0,
Q3075017,,,,,,,,,,,1.0,
Q3090608,,,,,,,,,,,1.0,
Q3091608,,,,,,,,,,1.0,,
Q309197,,,,,,,,,,1.0,,
Q3094841,,,,,,,,,,1.0,,
Q31,,,,,,,,,,,1.0,
Q3107473,,,,,,,,,,1.0,,
Q311883,,,,,,,,,,,4.0,
Q3120476,,,,,,,,,,,2.0,
Q31230,,,,,,,,,,,1.0,
Q3150506,,,,,,,,,,,1.0,
Q3154490,,,,,,,,,,,1.0,
