,nan,transgender female,intersex,transgender male,female,male
-87.0,,,,,,11.0
-86.0,,,,,,3.0
-85.0,,,,,,6.0
-84.0,,,,,,4.0
-83.0,,,,,,2.0
-82.0,,,,,1.0,9.0
-81.0,,,,,1.0,3.0
-80.0,,,,,1.0,5.0
-78.0,,,,,,5.0
-77.0,,,,,1.0,5.0
-76.0,,,,,,2.0
-74.0,,,,,,3.0
-73.0,,,,,,1.0
-72.0,,,,,,5.0
-71.0,,,,,1.0,4.0
-70.0,,,,,,5.0
-69.0,,,,,3.0,
-68.0,,,,,,3.0
-67.0,,,,,1.0,4.0
-66.0,,,,,,2.0
-65.0,,,,,,1.0
-64.0,,,,,,1.0
-63.0,,,,,,5.0
-62.0,,,,,,3.0
-61.0,,,,,,3.0
-59.0,,,,,,5.0
-58.0,,,,,,2.0
-57.0,,,,,1.0,3.0
-56.0,,,,,1.0,3.0
-55.0,,,,,2.0,3.0
-54.0,,,,,2.0,5.0
-53.0,,,,,,8.0
-52.0,,,,,,6.0
-51.0,,,,,1.0,3.0
-50.0,,,,,1.0,1.0
-49.0,,,,,,6.0
-48.0,,,,,1.0,12.0
-47.0,,,,,,6.0
-46.0,,,,,,13.0
-45.0,,,,,2.0,5.0
-44.0,,,,,1.0,8.0
-43.0,,,,,,18.0
-42.0,,,,,3.0,13.0
-41.0,,,,,1.0,3.0
-40.0,,,,,1.0,8.0
-39.0,,,,,1.0,2.0
-38.0,,,,,,4.0
-37.0,,,,,1.0,3.0
-36.0,,,,,,1.0
-35.0,,,,,,7.0
-34.0,,,,,,3.0
-33.0,,,,,,2.0
-32.0,,,,,,2.0
-31.0,,,,,1.0,3.0
-30.0,,,,,,10.0
-29.0,,,,,2.0,4.0
-28.0,,,,,,1.0
-27.0,,,,,,1.0
-26.0,,,,,,1.0
-25.0,,,,,,2.0
-24.0,,,,,,4.0
-23.0,,,,,,1.0
-22.0,,,,,,2.0
-21.0,,,,,,1.0
-20.0,,,,,,3.0
-19.0,,,,,,6.0
-18.0,,,,,1.0,1.0
-17.0,,,,,,1.0
-16.0,,,,,,2.0
-15.0,,,,,,3.0
-14.0,,,,,,2.0
-13.0,,,,,,3.0
-12.0,,,,,,4.0
-11.0,,,,,1.0,1.0
-10.0,,,,,,3.0
-9.0,,,,,,3.0
-8.0,,,,,,2.0
-7.0,,,,,,7.0
-6.0,,,,,,1.0
-5.0,,,,,,2.0
-4.0,,,,,1.0,4.0
-3.0,,,,,2.0,
-2.0,,,,,1.0,3.0
-1.0,,,,,1.0,1.0
0.0,,,,,1.0,1.0
1.0,,,,,,1.0
2.0,,,,,1.0,3.0
4.0,,,,,1.0,4.0
6.0,1.0,,,,,2.0
7.0,,,,,,2.0
8.0,,,,,,1.0
9.0,,,,,1.0,3.0
10.0,,,,,,4.0
11.0,,,,,,1.0
13.0,,,,,1.0,2.0
14.0,,,,,2.0,6.0
15.0,,,,,1.0,2.0
16.0,,,,,2.0,3.0
17.0,,,,,,7.0
18.0,,,,,1.0,5.0
19.0,1.0,,,,,4.0
20.0,,,,,2.0,7.0
