qid,en_label,aggregate_group
http://wikidata.org/wiki/Q1974839,Chinese Filipino,
http://wikidata.org/wiki/Q1983621,Demography of the United Kingdom,
http://wikidata.org/wiki/Q1983634,Oriya people,
http://wikidata.org/wiki/Q19860,Indo-European language,
http://wikidata.org/wiki/Q1996554,Kashmiri Pandit,
http://wikidata.org/wiki/Q1998273,Ingrian Finns,
http://wikidata.org/wiki/Q20,Norway,
http://wikidata.org/wiki/Q200263,Parsi,
http://wikidata.org/wiki/Q200569,Dutch people,
http://wikidata.org/wiki/Q201111,Aromanians,
http://wikidata.org/wiki/Q201190,Palestinian people,
http://wikidata.org/wiki/Q2021092,German Russian,
http://wikidata.org/wiki/Q202353,Alur people,
http://wikidata.org/wiki/Q202575,Fula people,
http://wikidata.org/wiki/Q2031644,History of the Jews in Russia,
http://wikidata.org/wiki/Q203178,Kikuyu,
http://wikidata.org/wiki/Q2033181,White Latin American,
http://wikidata.org/wiki/Q204333,Arab citizens of Israel,
http://wikidata.org/wiki/Q2046097,Paez people,
http://wikidata.org/wiki/Q207050,Buryats,
http://wikidata.org/wiki/Q2075566,Georgian Jews,
http://wikidata.org/wiki/Q209959,Miao people,
http://wikidata.org/wiki/Q21,England,
http://wikidata.org/wiki/Q212,Ukraine,
http://wikidata.org/wiki/Q212106,Dinka people,
http://wikidata.org/wiki/Q213396,Wyandot people,
http://wikidata.org/wiki/Q214361,Mari people,
http://wikidata.org/wiki/Q216151,Vietnamese people,
http://wikidata.org/wiki/Q218,Romania,
http://wikidata.org/wiki/Q219,Bulgaria,
http://wikidata.org/wiki/Q219252,Khoikhoi,
http://wikidata.org/wiki/Q219563,University of Washington,
http://wikidata.org/wiki/Q22,Scotland,
http://wikidata.org/wiki/Q222175,Cornish people,
http://wikidata.org/wiki/Q223,Greenland,
http://wikidata.org/wiki/Q224,Croatia,
http://wikidata.org/wiki/Q2258527,Indigenous peoples in Colombia,
http://wikidata.org/wiki/Q22633,Germanic peoples,
http://wikidata.org/wiki/Q22890,Ireland,
http://wikidata.org/wiki/Q2309935,Persian Jews,
http://wikidata.org/wiki/Q2325516,Armenian-American,
http://wikidata.org/wiki/Q23444,white,
http://wikidata.org/wiki/Q235155,white people,
http://wikidata.org/wiki/Q2365041,Argentine people,
http://wikidata.org/wiki/Q23666,Great Britain,
http://wikidata.org/wiki/Q236807,Yugoslavs,
http://wikidata.org/wiki/Q237534,Austrians,
http://wikidata.org/wiki/Q23792,Palestine,
http://wikidata.org/wiki/Q2401619,Banu Zuhrah,
http://wikidata.org/wiki/Q2408653,Thai Chinese,
http://wikidata.org/wiki/Q241,Cuba,
http://wikidata.org/wiki/Q2414972,Banu Makhzum,
http://wikidata.org/wiki/Q241696,Somali people,
http://wikidata.org/wiki/Q242485,Flemish people,
http://wikidata.org/wiki/Q244028,Kabarday,
http://wikidata.org/wiki/Q244157,Igbo people,
http://wikidata.org/wiki/Q245807,Turkish Cypriots,
http://wikidata.org/wiki/Q2464565,Turkish American,
http://wikidata.org/wiki/Q25,Wales,
http://wikidata.org/wiki/Q2505231,Ukrainian American,
http://wikidata.org/wiki/Q2513044,Chinese people in Burma,
http://wikidata.org/wiki/Q252,Indonesia,
http://wikidata.org/wiki/Q2533493,Maidu,
http://wikidata.org/wiki/Q2533513,Limba people,
http://wikidata.org/wiki/Q253410,Chuvash people,
http://wikidata.org/wiki/Q254387,Orang Asli,
http://wikidata.org/wiki/Q2556103,Pashtun people,
http://wikidata.org/wiki/Q255872,Ojibwe people,
http://wikidata.org/wiki/Q2580491,British Pakistani community,
http://wikidata.org/wiki/Q2587830,Pardo,
http://wikidata.org/wiki/Q2590074,Armenians in Turkey,
http://wikidata.org/wiki/Q2593852,Turks in the Republic of Macedonia,
http://wikidata.org/wiki/Q2606511,Lebanese people,
http://wikidata.org/wiki/Q2614835,Karamoja,
http://wikidata.org/wiki/Q2615416,Portuguese Brazilian,
http://wikidata.org/wiki/Q262,Algeria,
http://wikidata.org/wiki/Q262457,Métis people,
http://wikidata.org/wiki/Q2633574,Banu Tamim,
http://wikidata.org/wiki/Q2643509,Indian American,
http://wikidata.org/wiki/Q2657969,Vietnamese American,
http://wikidata.org/wiki/Q2670560,History of the Jews in Brazil,
http://wikidata.org/wiki/Q2671687,Armenians in France,
http://wikidata.org/wiki/Q2672654,History of the Jews in Morocco,
