qid,en_label,aggregate_group
http://wikidata.org/wiki/Q18973,Georgian people,
http://wikidata.org/wiki/Q190025,Federal Republic of Central America,
http://wikidata.org/wiki/Q190959,Transvaal,
http://wikidata.org/wiki/Q191,Estonia,
http://wikidata.org/wiki/Q191077,Kingdom of Yugoslavia,
http://wikidata.org/wiki/Q191324,Middle Kingdom of Egypt,
http://wikidata.org/wiki/Q192180,Latvian Soviet Socialist Republic,
http://wikidata.org/wiki/Q193619,Union of South Africa,
http://wikidata.org/wiki/Q193714,Mandatory Palestine,
http://wikidata.org/wiki/Q1986139,Parthian Empire,
http://wikidata.org/wiki/Q1991472,United States of Africa,
http://wikidata.org/wiki/Q199707,Turkmen Soviet Socialist Republic,
http://wikidata.org/wiki/Q20,Norway,
http://wikidata.org/wiki/Q200262,Kingdom of Navarre,
http://wikidata.org/wiki/Q201190,Palestinian people,
http://wikidata.org/wiki/Q20135,Großherzogtum Hessen,
http://wikidata.org/wiki/Q202156,province of Ireland,
http://wikidata.org/wiki/Q203493,Kingdom of Romania,
http://wikidata.org/wiki/Q204481,far-right,
http://wikidata.org/wiki/Q205047,Iraqi Kurdistan,
http://wikidata.org/wiki/Q205662,Tokugawa shogunate,
http://wikidata.org/wiki/Q206411,Democratic Republic of Azerbaijan,
http://wikidata.org/wiki/Q207162,Bourbon Restoration,
http://wikidata.org/wiki/Q207272,Second Polish Republic,
http://wikidata.org/wiki/Q207521,Abyssinia,
http://wikidata.org/wiki/Q208169,Republic of Ragusa,
http://wikidata.org/wiki/Q208404,Kingdom of Armenia,
http://wikidata.org/wiki/Q208545,Socialist Republic of Bosnia and Herzegovina,
http://wikidata.org/wiki/Q209062,Socialist Republic of Croatia,
http://wikidata.org/wiki/Q209065,Kingdom of Greece,
http://wikidata.org/wiki/Q209857,Kingdom of Lombardy–Venetia,
http://wikidata.org/wiki/Q21,England,
http://wikidata.org/wiki/Q210036,Chechen Republic of Ichkeria,
http://wikidata.org/wiki/Q210551,Viceroyalty of the Río de la Plata,
http://wikidata.org/wiki/Q211,Latvia,
http://wikidata.org/wiki/Q211230,Syros,
http://wikidata.org/wiki/Q211274,People's Republic of Poland,
http://wikidata.org/wiki/Q212,Ukraine,
http://wikidata.org/wiki/Q212056,Mongolian People's Republic,
http://wikidata.org/wiki/Q213,Czech Republic,
http://wikidata.org/wiki/Q213353,Cisalpine Republic,
http://wikidata.org/wiki/Q213510,Belgian Congo,
http://wikidata.org/wiki/Q214,Slovakia,
http://wikidata.org/wiki/Q215,Slovenia,
http://wikidata.org/wiki/Q215530,Kingdom of Ireland,
http://wikidata.org/wiki/Q217,Moldova,
http://wikidata.org/wiki/Q217169,Rhodesia,
http://wikidata.org/wiki/Q217196,Crown of Castile,
http://wikidata.org/wiki/Q217230,Empire of Brazil,
http://wikidata.org/wiki/Q2177215,Q2177215,
http://wikidata.org/wiki/Q218,Romania,
http://wikidata.org/wiki/Q218023,Orange Free State,
http://wikidata.org/wiki/Q2184,Russian Soviet Federative Socialist Republic,
http://wikidata.org/wiki/Q219,Bulgaria,
http://wikidata.org/wiki/Q219060,State of Palestine,
http://wikidata.org/wiki/Q219311,UK,
http://wikidata.org/wiki/Q22,Scotland,
http://wikidata.org/wiki/Q221,Republic of Macedonia,
http://wikidata.org/wiki/Q221457,Congress Poland,
http://wikidata.org/wiki/Q222,Albania,
http://wikidata.org/wiki/Q2227570,Duchy of Württemberg,
http://wikidata.org/wiki/Q223,Greenland,
http://wikidata.org/wiki/Q223050,statelessness,
http://wikidata.org/wiki/Q2235,Veliky Novgorod,
http://wikidata.org/wiki/Q223936,Kingdom of Italy,
http://wikidata.org/wiki/Q224,Croatia,
http://wikidata.org/wiki/Q225,Bosnia and Herzegovina,
http://wikidata.org/wiki/Q22502,Taiwan,
http://wikidata.org/wiki/Q2257531,Siceliotes,
http://wikidata.org/wiki/Q226317,Flanders,
http://wikidata.org/wiki/Q22633,Germanic peoples,
http://wikidata.org/wiki/Q227,Azerbaijan,
http://wikidata.org/wiki/Q2277,Roman Empire,
http://wikidata.org/wiki/Q228,Andorra,
http://wikidata.org/wiki/Q22890,Ireland,
http://wikidata.org/wiki/Q228990,French Empire,
http://wikidata.org/wiki/Q229,Cyprus,
http://wikidata.org/wiki/Q229411,Delhi Sultanate,
http://wikidata.org/wiki/Q230,Georgia,
http://wikidata.org/wiki/Q2305208,Soviet Russia,
http://wikidata.org/wiki/Q230791,Kingdom of Scotland,
http://wikidata.org/wiki/Q231002,nationality,
http://wikidata.org/wiki/Q231392,Kingdom of Asturias,
http://wikidata.org/wiki/Q232,Kazakhstan,
http://wikidata.org/wiki/Q2320005,Ptolemaic Kingdom,
http://wikidata.org/wiki/Q233,Malta,
http://wikidata.org/wiki/Q23334,Abkhazia,
http://wikidata.org/wiki/Q234,Flanders,
http://wikidata.org/wiki/Q23427,South Ossetia,
http://wikidata.org/wiki/Q235,Monaco,
http://wikidata.org/wiki/Q236,Montenegro,
http://wikidata.org/wiki/Q23635,Bermuda,
http://wikidata.org/wiki/Q23666,Great Britain,
http://wikidata.org/wiki/Q23681,Turkish Republic of Northern Cyprus,
http://wikidata.org/wiki/Q23693,Visigoths,
http://wikidata.org/wiki/Q237,Vatican City,
