,nan,transgender female,intersex,fa'afafine,transgender male,male animal,woman,genderqueer,female,male,kathoey
272.0,,,,,,,,,1.0,2.0,
273.0,1.0,,,,,,,,1.0,1.0,
274.0,,,,,,,,,,4.0,
275.0,,,,,,,,,1.0,3.0,
276.0,,,,,,,,,,3.0,
277.0,,,,,,,,,,3.0,
278.0,,,,,,,,,,2.0,
279.0,,,,,,,,,,1.0,
280.0,,,,,,,,,1.0,3.0,
281.0,1.0,,,,,,,,2.0,,
283.0,,,,,,,,,2.0,2.0,
284.0,,,,,,,,,2.0,4.0,
285.0,,,,,,,,,2.0,2.0,
287.0,,,,,,,,,2.0,1.0,
288.0,,,,,,,,,,2.0,
289.0,,,,,,,,,2.0,2.0,
290.0,,,,,,,,,2.0,5.0,
291.0,,,,,,,,,2.0,2.0,
292.0,,,,,,,,,,2.0,
294.0,,,,,,,,,,2.0,
295.0,,,,,,,,,,3.0,
296.0,,,,,,,,,,1.0,
297.0,,,,,,,,,1.0,2.0,
298.0,,,,,,,,,1.0,1.0,
300.0,,,,,,,,,,11.0,
302.0,,,,,,,,,,1.0,
303.0,1.0,,,,,,,,,5.0,
305.0,,,,,,,,,,3.0,
307.0,,,,,,,,,,1.0,
309.0,,,,,,,,,,1.0,
310.0,,,,,,,,,,3.0,
311.0,,,,,,,,,,2.0,
312.0,,,,,,,,,,3.0,
313.0,,,,,,,,,,3.0,
314.0,,,,,,,,,,3.0,
315.0,,,,,,,,,,5.0,
316.0,,,,,,,,,,1.0,
317.0,,,,,,,,,,6.0,
