,transgender male,female,male
Q8242,0.0,1.0,8.0
Q81197,0.0,0.0,1.0
Q192890,0.0,0.0,1.0
Q1046801,0.0,0.0,1.0
Q34178,0.0,1.0,15.0
Q10379,0.0,0.0,1.0
Q12360185,0.0,1.0,0.0
Q803925,0.0,0.0,1.0
Q745692,0.0,0.0,2.0
Q161179,0.0,0.0,1.0
Q2381394,0.0,0.0,1.0
Q173799,0.0,1.0,2.0
Q41923,0.0,0.0,1.0
Q15839135,0.0,0.0,1.0
Q2599593,0.0,0.0,1.0
Q484692,0.0,1.0,0.0
Q238651,0.0,1.0,0.0
Q920846,0.0,0.0,1.0
Q407784,0.0,0.0,1.0
Q160398,0.0,0.0,1.0
Q83341,0.0,0.0,1.0
Q107427,0.0,0.0,1.0
Q107425,0.0,1.0,0.0
Q179488,0.0,0.0,1.0
Q482752,0.0,0.0,1.0
Q692,0.0,0.0,1.0
Q188444,0.0,0.0,89.0
Q324326,0.0,0.0,1.0
Q1221899,0.0,1.0,0.0
Q188449,0.0,0.0,2.0
Q1420,0.0,0.0,1.0
Q34508,0.0,1.0,0.0
Q171251,0.0,0.0,8.0
Q1750049,0.0,0.0,1.0
Q905243,0.0,0.0,1.0
Q789523,0.0,0.0,2.0
Q212105,0.0,0.0,0.0
Q43343,0.0,1.0,0.0
Q1734,0.0,1.0,0.0
Q926191,0.0,1.0,0.0
Q437112,0.0,0.0,2.0
Q12554,0.0,9.0,45.0
Q3565868,0.0,0.0,1.0
Q43183,0.0,0.0,2.0
Q872,0.0,0.0,1.0
Q5334416,0.0,0.0,1.0
Q9778,0.0,0.0,2.0
Q23498,0.0,0.0,9.0
Q10630822,0.0,0.0,2.0
Q10978,0.0,1.0,0.0
Q1505660,0.0,0.0,1.0
Q1371704,0.0,0.0,1.0
Q60186,0.0,1.0,0.0
Q25261,0.0,0.0,2.0
Q13955,0.0,0.0,4.0
Q779054,0.0,0.0,1.0
Q422635,0.0,0.0,1.0
Q515701,0.0,0.0,2.0
Q2964004,0.0,0.0,1.0
Q181648,0.0,1.0,3.0
Q919765,0.0,0.0,1.0
Q161764,0.0,1.0,0.0
Q11032,0.0,1.0,0.0
Q11030,0.0,2.0,13.0
Q44631,0.0,1.0,0.0
Q309901,0.0,1.0,0.0
Q17898,0.0,1.0,1.0
Q41217,0.0,0.0,5.0
Q309,0.0,5.0,26.0
Q538733,0.0,0.0,1.0
Q1063,0.0,0.0,1.0
Q181790,0.0,0.0,1.0
Q1231865,0.0,0.0,1.0
Q7215,0.0,0.0,2.0
Q6495391,0.0,14.0,75.0
Q40634,0.0,0.0,4.0
Q2247727,0.0,0.0,2.0
Q59157,0.0,0.0,1.0
Q126945,0.0,0.0,1.0
Q861536,0.0,0.0,1.0
